Date,Description,Amount
2025-08-08,AMAZON.COM*MKTPLACE,-77.15
2025-08-09,GEICO AUTO INSURANCE,-168.0
2025-08-09,STARBUCKS STORE 09122,-8.45
2025-08-09,STARBUCKS STORE 09122,-6.58
2025-08-09,SHELL OIL 574812,-51.51
2025-08-09,UBER TRIP,-17.96
2025-08-10,CHEWY.COM PET SUPPLIES,-97.79
2025-08-10,UBEREATS,-49.15
2025-08-10,PHILZ COFFEE,-5.79
2025-08-10,BLUE BOTTLE COFFEE,-7.5
2025-08-10,UBER TRIP,-29.8
2025-08-11,SAFEWAY #1842,-92.8
2025-08-12,YOUTUBE PREMIUM,-13.99
2025-08-12,CHEVRON 0093471,-49.53
2025-08-13,DOORDASH*ORDER,-65.56
2025-08-13,DOORDASH*ORDER,-59.71
2025-08-13,AMAZON.COM*MKTPLACE,-110.95
2025-08-13,UBER TRIP,-35.27
2025-08-13,HOME DEPOT #6612,-144.14
2025-08-13,KAISER PERMANENTE MEDICAL,-225.43
2025-08-14,ADOBE CREATIVE CLOUD,-59.99
2025-08-14,COSTCO WHOLESALE #1103,-324.97
2025-08-14,AMAZON.COM*MKTPLACE,-101.41
2025-08-14,CVS/PHARMACY #4471,-52.28
2025-08-14,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-08-15,UBEREATS,-46.52
2025-08-15,NAPOLI PIZZA KITCHEN,-44.27
2025-08-16,DOORDASH*ORDER,-49.71
2025-08-16,STARBUCKS STORE 09122,-9.73
2025-08-17,CLASSPASS INC,-79.0
2025-08-17,SUSHI RAN RESTAURANT,-75.36
2025-08-17,BARREL HOUSE BREWERY,-54.28
2025-08-17,TARGET T-1189,-100.63
2025-08-17,BART CLIPPER RELOAD,-40.0
2025-08-18,SPOTIFY USA,-19.99
2025-08-18,CHIPOTLE 2244,-13.5
2025-08-18,SHELL OIL 574812,-46.95
2025-08-18,PETCO ANIMAL SUPPLIES,-81.93
2025-08-19,TRANSFER TO SAVINGS - VANGUARD,-2500.0
2025-08-19,DOORDASH*ORDER,-26.1
2025-08-20,BRIGHT HORIZONS PRESCHOOL,-1850.0
2025-08-20,NELNET STUDENT LOAN PMT,-412.0
2025-08-20,AMAZON.COM*MKTPLACE,-71.98
2025-08-20,UBER TRIP,-18.5
2025-08-21,HULU + DISNEY BUNDLE,-18.99
2025-08-21,TRADER JOES #221,-54.38
2025-08-21,STARBUCKS STORE 09122,-8.98
2025-08-21,STARBUCKS STORE 09122,-9.23
2025-08-21,BLUE BOTTLE COFFEE,-5.83
2025-08-22,SAFEWAY #1842,-190.63
2025-08-22,LYFT RIDE,-28.7
2025-08-23,COMCAST XFINITY INTERNET,-89.99
2025-08-23,NAPOLI PIZZA KITCHEN,-53.49
2025-08-24,SAFEWAY #1842,-69.69
2025-08-24,STARBUCKS STORE 09122,-9.36
2025-08-25,WELLS FARGO HM MORTGAGE PMT,-4298.06
2025-08-25,NETFLIX.COM,-22.99
2025-08-25,PHILZ COFFEE,-7.41
2025-08-25,BARREL HOUSE BREWERY,-79.38
2025-08-26,WHOLE FOODS MARKET,-134.8
2025-08-27,STARBUCKS STORE 09122,-8.49
2025-08-27,SHELL OIL 574812,-71.93
2025-08-27,CHEVRON 0093471,-42.43
2025-08-27,FRANCHISE TAX BOARD PMT,-1400.0
2025-08-28,PG&E ENERGY STATEMENT,-196.79
2025-08-28,EQUINOX FITNESS SF,-215.0
2025-08-28,TOYOTA FINANCIAL AUTO LOAN,-528.0
2025-08-28,SAFEWAY #1842,-139.48
2025-08-28,WHOLE FOODS MARKET,-62.07
2025-08-28,STARBUCKS STORE 09122,-5.34
2025-08-28,STARBUCKS STORE 09122,-9.82
2025-08-29,SAFEWAY #1842,-118.37
2025-08-29,AMAZON.COM*MKTPLACE,-65.95
2025-08-29,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-08-30,EBMUD WATER SERVICE,-106.4
2025-08-30,LYFT RIDE,-27.45
2025-08-31,CVS/PHARMACY #4471,-16.19
2025-08-31,DIRECT DEPOSIT PAYROLL,9800.0
2025-09-01,COMCAST XFINITY INTERNET,-89.99
2025-09-01,PHILZ COFFEE,-7.94
2025-09-01,CHEVRON 0093471,-63.32
2025-09-01,DIRECT DEPOSIT PAYROLL,9800.0
2025-09-02,WELLS FARGO HM MORTGAGE PMT,-4298.06
2025-09-02,UBEREATS,-22.9
2025-09-02,BART CLIPPER RELOAD,-40.0
2025-09-03,SPOTIFY USA,-19.99
2025-09-04,PG&E ENERGY STATEMENT,-247.83
2025-09-04,STARBUCKS STORE 09122,-8.87
2025-09-04,AMAZON.COM*MKTPLACE,-106.18
2025-09-05,DOORDASH*ORDER,-37.71
2025-09-05,PHILZ COFFEE,-4.58
2025-09-05,BLUE BOTTLE COFFEE,-9.79
2025-09-05,SHELL OIL 574812,-72.21
2025-09-05,CVS/PHARMACY #4471,-31.55
2025-09-06,STARBUCKS STORE 09122,-7.95
2025-09-07,YOUTUBE PREMIUM,-13.99
2025-09-07,STARBUCKS STORE 09122,-6.81
2025-09-08,STARBUCKS STORE 09122,-6.23
2025-09-08,STARBUCKS STORE 09122,-8.04
2025-09-08,BANANA REPUBLIC SHOP,-195.01
2025-09-09,AMAZON.COM*MKTPLACE,-38.98
2025-09-09,TARGET T-1189,-140.76
2025-09-10,GEICO AUTO INSURANCE,-168.0
2025-09-10,SAFEWAY #1842,-165.27
2025-09-10,DOORDASH*ORDER,-43.45
2025-09-10,NAPOLI PIZZA KITCHEN,-42.25
2025-09-10,SHELL OIL 574812,-59.62
2025-09-11,ADOBE CREATIVE CLOUD,-59.99
2025-09-11,BRIGHT HORIZONS PRESCHOOL,-1850.0
2025-09-11,DOORDASH*ORDER,-35.74
2025-09-11,LYFT RIDE,-30.84
2025-09-12,HBO MAX SUBSCRIPTION,-16.99
2025-09-12,NELNET STUDENT LOAN PMT,-412.0
2025-09-12,SHELL OIL 574812,-76.72
2025-09-12,SHELL OIL 574812,-58.98
2025-09-12,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-09-13,HOA DUES - OAKRIDGE HOMEOWNERS,-285.0
2025-09-13,AMAZON.COM*MKTPLACE,-24.87
2025-09-13,PETCO ANIMAL SUPPLIES,-28.08
2025-09-14,PHILZ COFFEE,-7.25
2025-09-14,BARREL HOUSE BREWERY,-74.51
2025-09-15,APPLE.COM/BILL ICLOUD,-9.99
2025-09-15,TRADER JOES #221,-44.49
2025-09-15,AMAZON.COM*MKTPLACE,-110.45
2025-09-15,TARGET T-1189,-63.06
2025-09-16,TRANSFER TO SAVINGS - VANGUARD,-2500.0
2025-09-16,COSTCO WHOLESALE #1103,-335.14
2025-09-16,UBER TRIP,-20.23
2025-09-17,STARBUCKS STORE 09122,-9.71
2025-09-18,EBMUD WATER SERVICE,-98.43
2025-09-18,SAFEWAY #1842,-114.49
2025-09-18,DOORDASH*ORDER,-67.25
2025-09-18,STARBUCKS STORE 09122,-8.37
2025-09-19,VERIZON WIRELESS AUTOPAY,-142.63
2025-09-19,NETFLIX.COM,-22.99
2025-09-19,TRADER JOES #221,-87.62
2025-09-19,UBEREATS,-38.72
2025-09-19,AMAZON.COM*MKTPLACE,-26.31
2025-09-19,BART CLIPPER RELOAD,-40.0
2025-09-20,EQUINOX FITNESS SF,-215.0
2025-09-20,WHOLE FOODS MARKET,-106.14
2025-09-20,WHOLE FOODS MARKET,-91.8
2025-09-20,DOORDASH*ORDER,-57.35
2025-09-20,UBER TRIP,-34.55
2025-09-20,DIRECT DEPOSIT PAYROLL,9800.0
2025-09-21,SAFEWAY #1842,-175.44
2025-09-21,SAFEWAY #1842,-181.73
2025-09-21,UBEREATS,-19.62
2025-09-21,STARBUCKS STORE 09122,-5.36
2025-09-21,PHILZ COFFEE,-4.98
2025-09-21,BLUE BOTTLE COFFEE,-8.94
2025-09-22,TRADER JOES #221,-59.52
2025-09-22,STARBUCKS STORE 09122,-9.83
2025-09-22,STARBUCKS STORE 09122,-6.92
2025-09-22,CHIPOTLE 2244,-17.72
2025-09-22,SUSHI RAN RESTAURANT,-160.82
2025-09-22,NAPOLI PIZZA KITCHEN,-54.48
2025-09-22,AMAZON.COM*MKTPLACE,-49.8
2025-09-22,CHEVRON 0093471,-50.89
2025-09-23,TOYOTA FINANCIAL AUTO LOAN,-528.0
2025-09-23,AMAZON.COM*MKTPLACE,-31.43
2025-09-24,SAFEWAY #1842,-88.95
2025-09-25,BLUE BOTTLE COFFEE,-6.61
2025-09-26,CHEWY.COM PET SUPPLIES,-73.53
2025-09-26,STARBUCKS STORE 09122,-7.06
2025-09-26,UBER TRIP,-36.27
2025-09-26,LYFT RIDE,-28.71
2025-09-27,UBER TRIP,-17.22
2025-09-27,HOME DEPOT #6612,-244.63
2025-09-27,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-09-28,HULU + DISNEY BUNDLE,-18.99
2025-09-28,CHIPOTLE 2244,-13.02
2025-09-28,BARREL HOUSE BREWERY,-78.27
2025-09-29,CLASSPASS INC,-79.0
2025-09-29,CHIPOTLE 2244,-12.95
2025-09-29,AMAZON.COM*MKTPLACE,-56.69
2025-09-30,DOORDASH*ORDER,-63.97
2025-09-30,STARBUCKS STORE 09122,-5.67
2025-09-30,CVS/PHARMACY #4471,-25.36
2025-10-01,CVS/PHARMACY #4471,-34.39
2025-10-01,KAISER PERMANENTE MEDICAL,-229.88
2025-10-02,HBO MAX SUBSCRIPTION,-16.99
2025-10-02,STARBUCKS STORE 09122,-8.47
2025-10-02,BART CLIPPER RELOAD,-40.0
2025-10-02,HOME DEPOT #6612,-119.5
2025-10-03,BRIGHT HORIZONS PRESCHOOL,-1850.0
2025-10-03,SAFEWAY #1842,-174.84
2025-10-03,DOORDASH*ORDER,-50.19
2025-10-03,STARBUCKS STORE 09122,-7.16
2025-10-04,AIRBNB * HMQ4X2,-942.23
2025-10-05,WELLS FARGO HM MORTGAGE PMT,-4298.06
2025-10-05,WHOLE FOODS MARKET,-112.91
2025-10-05,SHELL OIL 574812,-70.93
2025-10-06,UBEREATS,-35.19
2025-10-06,STARBUCKS STORE 09122,-7.08
2025-10-06,STARBUCKS STORE 09122,-9.69
2025-10-06,CVS/PHARMACY #4471,-51.23
2025-10-07,STARBUCKS STORE 09122,-5.57
2025-10-07,NAPOLI PIZZA KITCHEN,-44.23
2025-10-07,AMAZON.COM*MKTPLACE,-29.7
2025-10-07,LYFT RIDE,-22.18
2025-10-08,EBMUD WATER SERVICE,-106.94
2025-10-08,BLUE BOTTLE COFFEE,-9.48
2025-10-08,AMAZON.COM*MKTPLACE,-109.35
2025-10-08,CHEVRON 0093471,-67.01
2025-10-09,COSTCO WHOLESALE #1103,-180.47
2025-10-09,STARBUCKS STORE 09122,-5.13
2025-10-09,BLUE BOTTLE COFFEE,-7.85
2025-10-09,AMAZON.COM*MKTPLACE,-60.99
2025-10-09,CHEVRON 0093471,-62.4
2025-10-10,CLASSPASS INC,-79.0
2025-10-10,UBER TRIP,-20.47
2025-10-10,BART CLIPPER RELOAD,-40.0
2025-10-12,VERIZON WIRELESS AUTOPAY,-143.92
2025-10-12,TRADER JOES #221,-59.74
2025-10-12,CHIPOTLE 2244,-21.79
2025-10-12,SUSHI RAN RESTAURANT,-115.33
2025-10-12,NAPOLI PIZZA KITCHEN,-34.5
2025-10-12,AMAZON.COM*MKTPLACE,-21.38
2025-10-12,UNITED AIRLINES 0162,-521.31
2025-10-13,SPOTIFY USA,-19.99
2025-10-13,SAFEWAY #1842,-102.22
2025-10-13,SAFEWAY #1842,-81.34
2025-10-13,STARBUCKS STORE 09122,-5.24
2025-10-14,HOA DUES - OAKRIDGE HOMEOWNERS,-285.0
2025-10-14,DOORDASH*ORDER,-27.11
2025-10-15,PG&E ENERGY STATEMENT,-254.29
2025-10-15,BARREL HOUSE BREWERY,-38.46
2025-10-16,STARBUCKS STORE 09122,-5.88
2025-10-16,UBER TRIP,-12.9
2025-10-17,PHILZ COFFEE,-6.41
2025-10-17,SHELL OIL 574812,-66.74
2025-10-18,TRANSFER TO SAVINGS - VANGUARD,-2500.0
2025-10-18,DOORDASH*ORDER,-61.65
2025-10-18,UBEREATS,-27.67
2025-10-18,PHILZ COFFEE,-5.96
2025-10-18,CHIPOTLE 2244,-19.64
2025-10-18,BARREL HOUSE BREWERY,-60.8
2025-10-19,STARBUCKS STORE 09122,-8.55
2025-10-20,NETFLIX.COM,-22.99
2025-10-20,APPLE.COM/BILL ICLOUD,-9.99
2025-10-20,WHOLE FOODS MARKET,-71.06
2025-10-20,DOORDASH*ORDER,-47.28
2025-10-20,AMAZON.COM*MKTPLACE,-75.3
2025-10-20,TARGET T-1189,-64.99
2025-10-20,UBER TRIP,-39.85
2025-10-20,ETSY.COM PURCHASE,-47.93
2025-10-21,DOORDASH*ORDER,-67.88
2025-10-21,CHIPOTLE 2244,-20.77
2025-10-21,LYFT RIDE,-9.27
2025-10-21,DIRECT DEPOSIT PAYROLL,9800.0
2025-10-22,SHELL OIL 574812,-72.78
2025-10-22,SHELL OIL 574812,-64.31
2025-10-23,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-10-24,CHEWY.COM PET SUPPLIES,-98.87
2025-10-24,NELNET STUDENT LOAN PMT,-412.0
2025-10-24,PHILZ COFFEE,-7.38
2025-10-24,AMAZON.COM*MKTPLACE,-102.98
2025-10-24,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-10-25,COMCAST XFINITY INTERNET,-89.99
2025-10-25,HULU + DISNEY BUNDLE,-18.99
2025-10-25,BANANA REPUBLIC SHOP,-125.2
2025-10-26,EQUINOX FITNESS SF,-215.0
2025-10-26,TRADER JOES #221,-81.32
2025-10-26,STARBUCKS STORE 09122,-6.25
2025-10-26,WAYFAIR ORDER,-331.7
2025-10-27,STARBUCKS STORE 09122,-9.15
2025-10-27,BLUE BOTTLE COFFEE,-8.27
2025-10-27,AMAZON.COM*MKTPLACE,-88.49
2025-10-27,TARGET T-1189,-94.95
2025-10-28,GEICO AUTO INSURANCE,-168.0
2025-10-28,SAFEWAY #1842,-177.0
2025-10-28,SAFEWAY #1842,-110.99
2025-10-28,STARBUCKS STORE 09122,-8.46
2025-10-29,ADOBE CREATIVE CLOUD,-59.99
2025-10-29,TRADER JOES #221,-105.95
2025-10-29,AMAZON.COM*MKTPLACE,-110.13
2025-10-29,UBER TRIP,-18.08
2025-10-29,PETCO ANIMAL SUPPLIES,-36.51
2025-10-30,YOUTUBE PREMIUM,-13.99
2025-10-30,TOYOTA FINANCIAL AUTO LOAN,-528.0
2025-10-30,DOORDASH*ORDER,-55.56
2025-10-30,DIRECT DEPOSIT PAYROLL,9800.0
2025-10-31,UBEREATS,-47.01
2025-10-31,PHILZ COFFEE,-7.13
2025-11-01,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-11-02,WELLS FARGO HM MORTGAGE PMT,-4298.06
2025-11-02,YOUTUBE PREMIUM,-13.99
2025-11-02,AMAZON.COM*MKTPLACE,-22.04
2025-11-02,UBER TRIP,-30.85
2025-11-02,BART CLIPPER RELOAD,-40.0
2025-11-03,EBMUD WATER SERVICE,-78.75
2025-11-03,SAFEWAY #1842,-176.17
2025-11-03,PHILZ COFFEE,-6.05
2025-11-03,SHELL OIL 574812,-74.27
2025-11-04,TOYOTA FINANCIAL AUTO LOAN,-528.0
2025-11-04,TRADER JOES #221,-46.27
2025-11-04,BLUE BOTTLE COFFEE,-7.57
2025-11-05,STARBUCKS STORE 09122,-5.27
2025-11-05,BLUE BOTTLE COFFEE,-8.38
2025-11-06,CLASSPASS INC,-79.0
2025-11-06,NELNET STUDENT LOAN PMT,-412.0
2025-11-07,AMAZON.COM*MKTPLACE,-89.13
2025-11-07,LYFT RIDE,-29.88
2025-11-07,IKEA EMERYVILLE,-246.08
2025-11-08,STARBUCKS STORE 09122,-7.16
2025-11-08,STARBUCKS STORE 09122,-8.82
2025-11-08,NAPOLI PIZZA KITCHEN,-44.03
2025-11-08,CHEVRON 0093471,-72.31
2025-11-08,ETSY.COM PURCHASE,-91.04
2025-11-09,PHILZ COFFEE,-6.3
2025-11-09,BARREL HOUSE BREWERY,-37.91
2025-11-09,AMAZON.COM*MKTPLACE,-69.03
2025-11-10,SAFEWAY #1842,-169.86
2025-11-10,STARBUCKS STORE 09122,-5.71
2025-11-10,AMAZON.COM*MKTPLACE,-107.4
2025-11-11,COMCAST XFINITY INTERNET,-89.99
2025-11-11,TRANSFER TO SAVINGS - VANGUARD,-2500.0
2025-11-11,STARBUCKS STORE 09122,-8.17
2025-11-11,PHILZ COFFEE,-5.53
2025-11-11,PETCO ANIMAL SUPPLIES,-52.96
2025-11-12,HOA DUES - OAKRIDGE HOMEOWNERS,-285.0
2025-11-12,COSTCO WHOLESALE #1103,-250.03
2025-11-12,STARBUCKS STORE 09122,-8.94
2025-11-12,CHIPOTLE 2244,-21.06
2025-11-12,AMAZON.COM*MKTPLACE,-30.57
2025-11-13,LYFT RIDE,-31.75
2025-11-14,TRADER JOES #221,-101.39
2025-11-14,STARBUCKS STORE 09122,-10.12
2025-11-15,NETFLIX.COM,-22.99
2025-11-15,UBEREATS,-20.75
2025-11-15,SHELL OIL 574812,-62.55
2025-11-16,EQUINOX FITNESS SF,-215.0
2025-11-16,UBEREATS,-23.24
2025-11-17,CHEWY.COM PET SUPPLIES,-59.7
2025-11-17,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-11-18,VERIZON WIRELESS AUTOPAY,-138.04
2025-11-18,BRIGHT HORIZONS PRESCHOOL,-1850.0
2025-11-18,BARREL HOUSE BREWERY,-82.18
2025-11-18,NAPOLI PIZZA KITCHEN,-42.59
2025-11-18,SHELL OIL 574812,-48.73
2025-11-18,HOME DEPOT #6612,-92.15
2025-11-19,SPOTIFY USA,-19.99
2025-11-19,SAFEWAY #1842,-69.39
2025-11-19,CHIPOTLE 2244,-16.01
2025-11-19,SHELL OIL 574812,-44.28
2025-11-20,SAFEWAY #1842,-88.41
2025-11-20,TRADER JOES #221,-52.81
2025-11-20,WHOLE FOODS MARKET,-75.65
2025-11-20,DOORDASH*ORDER,-41.01
2025-11-20,AMAZON.COM*MKTPLACE,-81.25
2025-11-20,CVS/PHARMACY #4471,-56.51
2025-11-21,STARBUCKS STORE 09122,-8.67
2025-11-21,STARBUCKS STORE 09122,-10.44
2025-11-21,PHILZ COFFEE,-5.05
2025-11-22,SAFEWAY #1842,-104.29
2025-11-22,DOORDASH*ORDER,-65.7
2025-11-22,STARBUCKS STORE 09122,-5.86
2025-11-22,AMAZON.COM*MKTPLACE,-112.73
2025-11-23,WHOLE FOODS MARKET,-112.21
2025-11-23,DOORDASH*ORDER,-70.04
2025-11-23,DOORDASH*ORDER,-48.77
2025-11-23,UBEREATS,-44.85
2025-11-23,SUSHI RAN RESTAURANT,-114.0
2025-11-23,BART CLIPPER RELOAD,-40.0
2025-11-23,BRIGHT SMILE DENTAL,-202.21
2025-11-24,APPLE.COM/BILL ICLOUD,-9.99
2025-11-24,AMAZON.COM*MKTPLACE,-77.91
2025-11-24,UBER TRIP,-11.52
2025-11-24,UBER TRIP,-32.65
2025-11-25,DOORDASH*ORDER,-41.84
2025-11-25,STARBUCKS STORE 09122,-8.04
2025-11-25,CHIPOTLE 2244,-16.4
2025-11-26,PG&E ENERGY STATEMENT,-175.04
2025-11-26,ADOBE CREATIVE CLOUD,-59.99
2025-11-26,DOORDASH*ORDER,-51.35
2025-11-26,BLUE BOTTLE COFFEE,-8.63
2025-11-26,TARGET T-1189,-56.53
2025-11-26,UBER TRIP,-36.92
2025-11-27,HULU + DISNEY BUNDLE,-18.99
2025-11-28,GEICO AUTO INSURANCE,-168.0
2025-11-28,STARBUCKS STORE 09122,-6.46
2025-11-28,DIRECT DEPOSIT PAYROLL,9800.0
2025-11-29,TARGET T-1189,-41.63
2025-11-29,DIRECT DEPOSIT PAYROLL,9800.0
2025-11-30,HBO MAX SUBSCRIPTION,-16.99
2025-11-30,CHEVRON 0093471,-47.09
2025-11-30,CVS/PHARMACY #4471,-33.81
2025-12-01,EQUINOX FITNESS SF,-215.0
2025-12-01,STARBUCKS STORE 09122,-5.52
2025-12-01,BARREL HOUSE BREWERY,-66.18
2025-12-01,CVS/PHARMACY #4471,-60.63
2025-12-02,VERIZON WIRELESS AUTOPAY,-138.24
2025-12-02,DOORDASH*ORDER,-31.16
2025-12-02,STARBUCKS STORE 09122,-5.23
2025-12-02,BLUE BOTTLE COFFEE,-10.28
2025-12-02,BARREL HOUSE BREWERY,-91.37
2025-12-03,HOA DUES - OAKRIDGE HOMEOWNERS,-285.0
2025-12-03,APPLE.COM/BILL ICLOUD,-9.99
2025-12-03,STARBUCKS STORE 09122,-7.35
2025-12-03,BLUE BOTTLE COFFEE,-10.28
2025-12-03,AMAZON.COM*MKTPLACE,-75.71
2025-12-03,AMAZON.COM*MKTPLACE,-49.53
2025-12-04,DOORDASH*ORDER,-34.7
2025-12-04,CHIPOTLE 2244,-20.45
2025-12-04,BART CLIPPER RELOAD,-40.0
